route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
2,2101051,0000147402101051,Ritaharju,1,2101051,11,1
2,2101051,0000195102101051,Metsokangas,0,2101051,10,1
2,2101051,0000147902101051,Ritaharju,1,2101051,11,1
2,2101051,0000195602101051,Metsokangas,0,2101051,10,1
2,2101051,0000148402101051,Ritaharju,1,2101051,11,1
2,2101051,0000196102101051,Metsokangas,0,2101051,10,1
2,2101051,0000148902101051,Ritaharju,1,2101051,11,1
2,2101051,0000196602101051,Metsokangas,0,2101051,10,1
2,2101051,0000149402101051,Ritaharju,1,2101051,11,1
2,2101051,0000197102101051,Metsokangas,0,2101051,10,1
2,2101051,0000149902101051,Ritaharju,1,2101051,11,1
2,2101051,0000197602101051,Metsokangas,0,2101051,10,1
2,2101051,0000150402101051,Ritaharju,1,2101051,11,1
2,2101051,0000197902101051,Metsokangas,0,2101051,10,1
2,2101061,0000194902101061,Metsokangas,0,2101061,10,1
2,2101061,0000147502101061,Ritaharju,1,2101061,11,1
2,2101061,0000195202101061,Metsokangas,0,2101061,10,1
2,2101061,0000148002101061,Ritaharju,1,2101061,11,1
2,2101061,0000195702101061,Metsokangas,0,2101061,10,1
2,2101061,0000148502101061,Ritaharju,1,2101061,11,1
2,2101061,0000196202101061,Metsokangas,0,2101061,10,1
2,2101061,0000149002101061,Ritaharju,1,2101061,11,1
2,2101061,0000196702101061,Metsokangas,0,2101061,10,1
2,2101061,0000149502101061,Ritaharju,1,2101061,11,1
2,2101061,0000197202101061,Metsokangas,0,2101061,10,1
2,2101061,0000150002101061,Ritaharju,1,2101061,11,1
2,2101061,0000197702101061,Metsokangas,0,2101061,10,1
2,2101071,0000195002101071,Metsokangas,0,2101071,10,1
2,2101071,0000147702101071,Ritaharju,1,2101071,11,1
2,2101071,0000195402101071,Metsokangas,0,2101071,10,1
2,2101071,0000148202101071,Ritaharju,1,2101071,11,1
2,2101071,0000195902101071,Metsokangas,0,2101071,10,1
2,2101071,0000148702101071,Ritaharju,1,2101071,11,1
2,2101071,0000196402101071,Metsokangas,0,2101071,10,1
2,2101071,0000149202101071,Ritaharju,1,2101071,11,1
2,2101071,0000196902101071,Metsokangas,0,2101071,10,1
2,2101071,0000149702101071,Ritaharju,1,2101071,11,1
2,2101071,0000197402101071,Metsokangas,0,2101071,10,1
2,2101071,0000150202101071,Ritaharju,1,2101071,11,1
2,2101071,0000197802101071,Metsokangas,0,2101071,10,1
3,2101071,0000214102101071,Ritaharju,1,2101071,15,1
2,2101081,0000147802101081,Ritaharju,1,2101081,11,1
2,2101081,0000195502101081,Metsokangas,0,2101081,10,1
2,2101081,0000148302101081,Ritaharju,1,2101081,11,1
2,2101081,0000196002101081,Metsokangas,0,2101081,10,1
2,2101081,0000148802101081,Ritaharju,1,2101081,11,1
2,2101081,0000196502101081,Metsokangas,0,2101081,10,1
2,2101081,0000149302101081,Ritaharju,1,2101081,11,1
2,2101081,0000197002101081,Metsokangas,0,2101081,10,1
2,2101081,0000149802101081,Ritaharju,1,2101081,11,1
2,2101081,0000197502101081,Metsokangas,0,2101081,10,1
2,2101081,0000150302101081,Ritaharju,1,2101081,11,1
3,2101081,0000214402101081,Kaakkuri,0,2101081,14,1
2,2101081,0000191502101081,Ritaharju,1,2101081,11,1
2,2101091,0000147602101091,Ritaharju,1,2101091,11,1
2,2101091,0000195302101091,Metsokangas,0,2101091,10,1
2,2101091,0000148102101091,Ritaharju,1,2101091,11,1
2,2101091,0000195802101091,Metsokangas,0,2101091,10,1
2,2101091,0000148602101091,Ritaharju,1,2101091,11,1
2,2101091,0000196302101091,Metsokangas,0,2101091,10,1
2,2101091,0000149102101091,Ritaharju,1,2101091,11,1
2,2101091,0000196802101091,Metsokangas,0,2101091,10,1
2,2101091,0000149602101091,Ritaharju,1,2101091,11,1
2,2101091,0000197302101091,Metsokangas,0,2101091,10,1
2,2101091,0000150102101091,Ritaharju,1,2101091,11,1
2,2101091,0000191402101091,Ritaharju,1,2101091,11,1
2,2101091,0000198002101091,Metsokangas,0,2101091,10,1
991,2101091,0000031302101091,Heikinharju,1,2101091,32,1
3,2101101,0000226102101101,Kaakkuri,0,2101101,14,1
3,2101101,0000225502101101,Ritaharju,1,2101101,15,1
3,2101101,0000226302101101,Kaakkuri,0,2101101,14,1
3,2101101,0000211802101101,Ritaharju,1,2101101,15,1
3,2101101,0000226502101101,Kaakkuri,0,2101101,14,1
3,2101101,0000212102101101,Ritaharju,1,2101101,15,1
3,2101101,0000214802101101,Kaakkuri,0,2101101,14,1
3,2101101,0000212502101101,Ritaharju,1,2101101,15,1
3,2101101,0000215202101101,Kaakkuri,0,2101101,14,1
3,2101101,0000212902101101,Ritaharju,1,2101101,15,1
3,2101101,0000215602101101,Kaakkuri,0,2101101,14,1
3,2101101,0000213302101101,Ritaharju,1,2101101,15,1
3,2101101,0000216002101101,Kaakkuri,0,2101101,14,1
3,2101101,0000213702101101,Ritaharju,1,2101101,15,1
3,2101101,0000231302101101,Kaakkuri,0,2101101,14,1
3,2101101,0000213902101101,Ritaharju,1,2101101,15,1
3,2101111,0000225402101111,Ritaharju,1,2101111,15,1
3,2101111,0000226202101111,Kaakkuri,0,2101111,14,1
3,2101111,0000211702101111,Ritaharju,1,2101111,15,1
3,2101111,0000226402101111,Kaakkuri,0,2101111,14,1
3,2101111,0000211902101111,Ritaharju,1,2101111,15,1
3,2101111,0000214602101111,Kaakkuri,0,2101111,14,1
3,2101111,0000212302101111,Ritaharju,1,2101111,15,1
3,2101111,0000215002101111,Kaakkuri,0,2101111,14,1
3,2101111,0000212702101111,Ritaharju,1,2101111,15,1
3,2101111,0000215402101111,Kaakkuri,0,2101111,14,1
3,2101111,0000213102101111,Ritaharju,1,2101111,15,1
3,2101111,0000215802101111,Kaakkuri,0,2101111,14,1
3,2101111,0000213502101111,Ritaharju,1,2101111,15,1
3,2101111,0000231102101111,Kaakkuri,0,2101111,14,1
3,2101111,0000213802101111,Ritaharju,1,2101111,15,1
3,2101111,0000231502101111,Kaakkuri,0,2101111,14,1
3,2101111,0000214002101111,Ritaharju,1,2101111,15,1
3,2101111,0000214502101111,Kaakkuri,0,2101111,14,1
3,2101121,0000225602101121,Ritaharju,1,2101121,15,1
3,2101121,0000214202101121,Kaakkuri,0,2101121,14,1
3,2101121,0000225802101121,Ritaharju,1,2101121,15,1
3,2101121,0000216202101121,Kaakkuri,0,2101121,14,1
3,2101121,0000212202101121,Ritaharju,1,2101121,15,1
3,2101121,0000214902101121,Kaakkuri,0,2101121,14,1
3,2101121,0000212602101121,Ritaharju,1,2101121,15,1
3,2101121,0000215302101121,Kaakkuri,0,2101121,14,1
3,2101121,0000213002101121,Ritaharju,1,2101121,15,1
3,2101121,0000215702101121,Kaakkuri,0,2101121,14,1
3,2101121,0000213402101121,Ritaharju,1,2101121,15,1
3,2101121,0000216102101121,Kaakkuri,0,2101121,14,1
3,2101121,0000227802101121,Ritaharju,1,2101121,15,1
3,2101121,0000231402101121,Kaakkuri,0,2101121,14,1
3,2101131,0000225702101131,Ritaharju,1,2101131,15,1
3,2101131,0000214302101131,Kaakkuri,0,2101131,14,1
3,2101131,0000212002101131,Ritaharju,1,2101131,15,1
3,2101131,0000214702101131,Kaakkuri,0,2101131,14,1
3,2101131,0000212402101131,Ritaharju,1,2101131,15,1
3,2101131,0000215102101131,Kaakkuri,0,2101131,14,1
3,2101131,0000212802101131,Ritaharju,1,2101131,15,1
3,2101131,0000215502101131,Kaakkuri,0,2101131,14,1
